kepid,kepoi_name,koi_disposition,koi_vet_stat,koi_vet_date,koi_pdisposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_disp_prov,koi_comment,koi_period,koi_time0bk,koi_eccen,koi_longp,koi_impact,koi_duration,koi_ingress,koi_depth,koi_ror,koi_srho,koi_fittype,koi_prad,koi_sma,koi_incl,koi_teq,koi_insol,koi_steff,koi_slogg,koi_smet,koi_srad,koi_smass,koi_sage,ra,dec,koi_kepmag,koi_gmag,koi_rmag,koi_imag,koi_zmag,koi_jmag,koi_hmag,koi_kmag,candidate_probability,prediction
10797460,K00752.01,1,Done,2018-08-16,CANDIDATE,1.0,0,0,0,0,q1_q17_dr25_sup_koi,NO_COMMENT,9.48803557,170.53875,0.0,,0.146,2.9575,,615.8,0.022344,3.20796,LS+MCMC,2.26,0.0853,89.66,793.0,93.59,5455.0,4.467,0.14,0.927,0.919,,291.93423,48.141651,15.347,15.89,15.27,15.114,15.006,14.082,13.751,13.648,5.012667429312835e-05,nan
10797460,K00752.02,1,Done,2018-08-16,CANDIDATE,0.969,0,0,0,0,q1_q17_dr25_sup_koi,NO_COMMENT,54.4183827,162.51384,0.0,,0.586,4.507,,874.8,0.027954,3.02368,LS+MCMC,2.83,0.2734,89.57,443.0,9.11,5455.0,4.467,0.14,0.927,0.919,,291.93423,48.141651,15.347,15.89,15.27,15.114,15.006,14.082,13.751,13.648,0.0001623788725481972,nan
10811496,K00753.01,0,Done,2018-08-16,CANDIDATE,0.0,0,0,0,0,q1_q17_dr25_sup_koi,DEEP_V_SHAPED,19.89913995,175.850252,0.0,,0.969,1.7822,,10829.0,0.154046,7.29555,LS+MCMC,14.6,0.1419,88.96,638.0,39.3,5853.0,4.544,-0.18,0.868,0.961,,297.00482,48.134129,15.436,15.943,15.39,15.22,15.166,14.254,13.9,13.826,0.9978679398905926,confirmed
10848459,K00754.01,2,Done,2018-08-16,FALSE POSITIVE,0.0,0,1,0,0,q1_q17_dr25_sup_koi,MOD_ODDEVEN_DV---MOD_ODDEVEN_ALT---DEEP_V_SHAPED,1.736952453,170.307565,0.0,,1.276,2.40641,,8079.2,0.387394,0.2208,LS+MCMC,33.46,0.0267,67.09,1395.0,891.96,5805.0,4.564,-0.52,0.791,0.836,,285.53461,48.28521,15.597,16.1,15.554,15.382,15.266,14.326,13.911,13.809,6.426775515987902e-05,nan
10854555,K00755.01,1,Done,2018-08-16,CANDIDATE,1.0,0,0,0,0,q1_q17_dr25_sup_koi,NO_COMMENT,2.525591777,171.59555,0.0,,0.701,1.6545,,603.3,0.024064,1.98635,LS+MCMC,2.75,0.0374,85.41,1406.0,926.16,6031.0,4.438,0.07,1.046,1.095,,288.75488,48.2262,15.509,16.015,15.468,15.292,15.241,14.366,14.064,13.952,6.148570024385774e-05,nan
10872983,K00756.01,1,Done,2018-08-16,CANDIDATE,1.0,0,0,0,0,q1_q17_dr25_sup_koi,NO_COMMENT,11.09432054,171.20116,0.0,,0.538,4.5945,,1517.5,0.036779,0.67324,LS+MCMC,3.9,0.0992,88.11,835.0,114.81,6046.0,4.486,-0.08,0.972,1.053,,296.28613,48.22467,15.714,16.234,15.677,15.492,15.441,14.528,14.113,14.132,7.303309735413158e-05,nan
10872983,K00756.02,1,Done,2018-08-16,CANDIDATE,1.0,0,0,0,0,q1_q17_dr25_sup_koi,NO_COMMENT,4.13443512,172.97937,0.0,,0.762,3.1402,,686.0,0.026133,0.37377,LS+MCMC,2.77,0.0514,83.72,1160.0,427.65,6046.0,4.486,-0.08,0.972,1.053,,296.28613,48.22467,15.714,16.234,15.677,15.492,15.441,14.528,14.113,14.132,6.877208217398125e-05,nan
10872983,K00756.03,1,Done,2018-08-16,CANDIDATE,0.992,0,0,0,0,q1_q17_dr25_sup_koi,NO_COMMENT,2.56658897,179.55437,0.0,,0.755,2.429,,226.5,0.014983,0.48909,LS+MCMC,1.59,0.0374,82.17,1360.0,807.74,6046.0,4.486,-0.08,0.972,1.053,,296.28613,48.22467,15.714,16.234,15.677,15.492,15.441,14.528,14.113,14.132,0.00032378019024793917,nan
6721123,K00114.01,2,Done,2018-08-16,FALSE POSITIVE,0.0,0,1,1,0,q1_q17_dr25_sup_koi,MOD_SEC_DV---MOD_SEC_ALT---HAS_SEC_TCE---CENT_RESOLVED_OFFSET,7.36178958,132.25053,0.0,,1.169,5.022,,233.7,0.183387,0.00485,LS+MCMC,39.21,0.082,60.92,1342.0,767.22,6227.0,3.986,0.0,1.958,1.358,,298.86435,42.151569,12.66,12.999,12.609,12.515,12.48,11.659,11.415,11.396,4.476595421718186e-05,nan
10910878,K00757.01,1,Done,2018-08-16,CANDIDATE,1.0,0,0,0,0,q1_q17_dr25_sup_koi,NO_COMMENT,16.06864674,173.621937,0.0,,0.052,3.5347,,4914.3,0.062161,3.6659,LS+MCMC,5.76,0.1158,89.92,600.0,30.75,5031.0,4.485,0.16,0.848,0.801,,286.99948,48.37579,15.841,16.559,15.77,15.534,15.368,14.363,13.868,13.785,9.025957207355967e-05,nan
